CNPJ,DENOM_SOCIAL,Data,CNPJ_ADMIN,ADMIN,CONDOM,FUNDO_EXCLUSIVO,COTST_INTERESSE,PRAZO_CONVERSAO_COTA,TP_PRAZO_CONVERSAO_COTA,PRAZO_PAGTO_RESGATE,TP_PRAZO_PAGTO_RESGATE,TAB_I_VL_ATIVO,TAB_I1_VL_DISP,TAB_I2_VL_CARTEIRA,TAB_I2A_VL_DIRCRED_RISCO,TAB_I2A1_VL_CRED_VENC_AD,TAB_I2A2_VL_CRED_VENC_INAD,TAB_I2A21_VL_TOTAL_PARCELA_INAD,TAB_I2A3_VL_CRED_INAD,TAB_I2A4_VL_CRED_DIRCRED_PERFM,TAB_I2A5_VL_CRED_VENCIDO_PENDENTE,TAB_I2A6_VL_CRED_EMP_RECUP,TAB_I2A7_VL_CRED_RECEITA_PUBLICA,TAB_I2A8_VL_CRED_ACAO_JUDIC,TAB_I2A9_VL_CRED_FATOR_RISCO,TAB_I2A10_VL_CRED_DIVERSO,TAB_I2A11_VL_REDUCAO_RECUP,TAB_I2A12_CPF_CNPJ_CEDENTE_1,TAB_I2A12_PR_CEDENTE_1,TAB_I2A12_CPF_CNPJ_CEDENTE_2,TAB_I2A12_PR_CEDENTE_2,TAB_I2A12_CPF_CNPJ_CEDENTE_3,TAB_I2A12_PR_CEDENTE_3,TAB_I2A12_CPF_CNPJ_CEDENTE_4,TAB_I2A12_PR_CEDENTE_4,TAB_I2A12_CPF_CNPJ_CEDENTE_5,TAB_I2A12_PR_CEDENTE_5,TAB_I2A12_CPF_CNPJ_CEDENTE_6,TAB_I2A12_PR_CEDENTE_6,TAB_I2A12_CPF_CNPJ_CEDENTE_7,TAB_I2A12_PR_CEDENTE_7,TAB_I2A12_CPF_CNPJ_CEDENTE_8,TAB_I2A12_PR_CEDENTE_8,TAB_I2A12_CPF_CNPJ_CEDENTE_9,TAB_I2A12_PR_CEDENTE_9,TAB_I2B_VL_DIRCRED_SEM_RISCO,TAB_I2B1_VL_CRED_VENC_AD,TAB_I2B2_VL_CRED_VENC_INAD,TAB_I2B21_VL_TOTAL_PARCELA_INAD,TAB_I2B3_VL_CRED_INAD,TAB_I2B4_VL_CRED_DIRCRED_PERFM,TAB_I2B5_VL_CRED_VENCIDO_PENDENTE,TAB_I2B6_VL_CRED_EMP_RECUP,TAB_I2B7_VL_CRED_RECEITA_PUBLICA,TAB_I2B8_VL_CRED_ACAO_JUDIC,TAB_I2B9_VL_CRED_FATOR_RISCO,TAB_I2B10_VL_CRED_DIVERSO,TAB_I2B11_VL_REDUCAO_RECUP,TAB_I2B12_CPF_CNPJ_CEDENTE_1,TAB_I2B12_PR_CEDENTE_1,TAB_I2B12_CPF_CNPJ_CEDENTE_2,TAB_I2B12_PR_CEDENTE_2,TAB_I2B12_CPF_CNPJ_CEDENTE_3,TAB_I2B12_PR_CEDENTE_3,TAB_I2B12_CPF_CNPJ_CEDENTE_4,TAB_I2B12_PR_CEDENTE_4,TAB_I2B12_CPF_CNPJ_CEDENTE_5,TAB_I2B12_PR_CEDENTE_5,TAB_I2B12_CPF_CNPJ_CEDENTE_6,TAB_I2B12_PR_CEDENTE_6,TAB_I2B12_CPF_CNPJ_CEDENTE_7,TAB_I2B12_PR_CEDENTE_7,TAB_I2B12_CPF_CNPJ_CEDENTE_8,TAB_I2B12_PR_CEDENTE_8,TAB_I2B12_CPF_CNPJ_CEDENTE_9,TAB_I2B12_PR_CEDENTE_9,TAB_I2C_VL_VLMOB,TAB_I2C1_VL_DEBENTURE,TAB_I2C2_VL_CRI,TAB_I2C3_VL_NP_COMERC,TAB_I2C4_VL_LETRA_FINANC,TAB_I2C5_VL_COTA_FUNDO_ICVM555,TAB_I2C6_VL_OUTRO,TAB_I2D_VL_TITPUB_FED,TAB_I2E_VL_CDB,TAB_I2F_VL_OPER_COMPROM,TAB_I2G_VL_OUTRO_RF,TAB_I2H_VL_COTA_FIDC,TAB_I2I_VL_COTA_FIDC_NP,TAB_I2J_VL_CONTRATO_FUTURO,TAB_I2_DEBENTURE_CRI,TAB_I2_COTA_FIDC,TAB_I2_VL_OUTRO_ATIVO,TAB_I3_VL_POSICAO_DERIV,TAB_I3A_VL_MERCADO_TERMO,TAB_I3B_VL_MERCADO_OPCAO,TAB_I3C_VL_MERCADO_FUTURO,TAB_I3D_VL_DIFER_SWAP,TAB_I3E_VL_COBERTURA,TAB_I3F_VL_DEPOSITO_MARGEM,TAB_I4_VL_OUTRO_ATIVO,TAB_I4A_VL_CPRAZO,TAB_I4B_VL_LPRAZO,CLASSE_UNICA,CLASSE,CNPJ_CLASSE,TAB_I2C5_VL_COTA_FIF,TP_FUNDO_CLASSE
41.341.232/0001-90,HOLDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2022-10-31,40.434.681/0001-10,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,FECHADO,N,N,,,,,16090637.14,0.0,25992987.09,20902771.84,20902771.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,5090215.25,0.0,0.0,0.0,0.0,5090215.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000421.89,11000421.89,0.0,,,,,
41.341.232/0001-90,HOLDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2022-10-31,40.434.681/0001-10,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,ABERTO,N,N,,,,,8234844.85,0.0,8233961.38,7626851.56,6966432.69,0.0,0.0,14640006.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13979588.07,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,607109.82,0.0,0.0,0.0,0.0,607109.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.47,883.47,0.0,,,,,
08.632.394/0001-02,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,2023-12-31,13.486.793/0001-42,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,FECHADO,N,N,,,,,983026675.26,3824594.68,967167949.4,281658730.32,279490962.22,0.0,0.0,9187992.88,0.0,0.0,0.0,0.0,0.0,0.0,,7020224.78,,,,,,,,,,,,,,,,,,,485808126.39,482306547.78,0.0,0.0,10632517.35,0.0,0.0,203400.0,0.0,0.0,0.0,,7130938.74,,,,,,,,,,,,,,,,,,,1803243.22,0.0,0.0,0.0,0.0,,0.0,1736517.37,196161332.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12034131.18,12034131.18,0.0,S,,8632394000102.0,1803243.22,
08.632.394/0001-02,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,983026675.26,3824594.68,967167949.4,290227367.28,295663144.37,0.0,0.0,1712396.03,0.0,0.0,0.0,0.0,0.0,0.0,,7148173.12,,,,,,,,,,,,,,,,,,,477239489.43,473422073.23,0.0,0.0,10820406.6,0.0,0.0,203400.0,0.0,0.0,0.0,,7002990.4,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1736517.37,197964575.32,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12034131.18,12034131.18,0.0,S,,8632394000102.0,0.0,
11.823.118/0001-36,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,53987831.18,82033.04,51701907.01,995128.26,1000954.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5826.69,,,,,,,,,,,,,,,,,,,46026147.83,44403859.98,0.0,0.0,9169554.83,0.0,0.0,2144110.85,0.0,0.0,0.0,,7547266.98,,,,,,,,,,,,,,,,,,,4377429.5,0.0,0.0,0.0,0.0,,0.0,303201.42,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203891.13,2203891.13,0.0,N,,11823118000136.0,4377429.5,
11.823.118/0001-36,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,53987831.18,82033.04,51701907.01,995128.26,1000954.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5826.69,,,,,,,,,,,,,,,,,,,46026147.83,44403859.98,0.0,0.0,9169554.83,0.0,0.0,2144110.85,0.0,0.0,0.0,,7547266.98,,,,,,,,,,,,,,,,,,,4377429.5,0.0,0.0,0.0,0.0,,0.0,303201.42,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203891.13,2203891.13,0.0,N,,11823118000136.0,4377429.5,
32.302.296/0001-91,FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS SOLIS EXT CAPITAL,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,37410231.58,41825.16,37348635.6,15820660.01,15835395.3,0.0,0.0,6779.59,0.0,0.0,0.0,0.0,0.0,0.0,,21514.88,99999999999999.0,31.68,99999999999998.0,10.78,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,20734726.7,20323045.59,0.0,0.0,0.0,,0.0,847900.66,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,54651.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19770.82,19770.82,0.0,S,,32302296000191.0,411681.11,
32.302.296/0001-91,FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS SOLIS EXT CAPITAL,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,37410231.58,41825.16,37348635.6,15820660.01,15835395.3,0.0,0.0,6779.59,0.0,0.0,0.0,0.0,0.0,0.0,,21514.88,32402502000135.0,31.68,35915471000104.0,10.78,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,20734726.7,20323045.59,0.0,0.0,0.0,,0.0,847900.66,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,54651.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19770.82,19770.82,0.0,S,,32302296000191.0,411681.11,
32.528.241/0001-02,DANIELE MÚLTIPLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,422653333.72,240961.84,420128926.47,198913323.38,197925225.0,0.0,0.0,7289558.97,0.0,0.0,10519290.47,0.0,0.0,0.0,,6301460.59,,,,,,,,,,,,,,,,,,,212901915.3,193781663.17,0.0,0.0,37675294.47,0.0,0.0,11800937.16,0.0,0.0,0.0,,18555042.34,,,,,,,,,,,,,,,,,,,7431647.25,0.0,0.0,0.0,0.0,,0.0,882040.54,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283445.41,2283445.41,0.0,N,,32528241000102.0,7431647.25,
32.528.241/0001-02,DANIELE MÚLTIPLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2023-12-31,39.669.186/0001-01,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,FECHADO,N,N,,,,,421571714.0,240961.84,419047306.75,197831701.81,196818741.24,0.0,0.0,7289558.97,0.0,0.0,10519290.47,0.0,0.0,0.0,,6276598.4,,,,,,,,,,,,,,,,,,,212901917.15,193781661.97,0.0,0.0,37675297.52,0.0,0.0,11800937.16,0.0,0.0,0.0,,18555042.34,,,,,,,,,,,,,,,,,,,7431647.25,0.0,0.0,0.0,0.0,,0.0,882040.54,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283445.41,2283445.41,0.0,S,,32528241000102.0,7431647.25,
