CNPJ,DENOM_SOCIAL,Data,TAB_X_TP_OPER,TAB_X_CLASSE_SERIE,TAB_X_VL_TOTAL,TAB_X_QT_COTA,TP_FUNDO_CLASSE
08.632.394/0001-02,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,2023-10-31,Amortizações,Subclasse Subordinada Sub | Subordinada 1,0.0,0.0,
08.632.394/0001-02,RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,2023-10-31,Amortizações,Subclasse Subordinada Sub | Subordinada 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Captações no Mês,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Captações no Mês,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Resgates no Mês,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Resgates no Mês,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Resgates Solicitados,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Resgates Solicitados,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Amortizações,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,2023-10-31,Amortizações,Subclasse Subordinada Cota Mezanino | Serie 1,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Captações no Mês,Subclasse Senior 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Captações no Mês,Subclasse Senior 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Captações no Mês,Subclasse Subordinada 0 | 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Captações no Mês,Subclasse Subordinada 0 | 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Captações no Mês,Subclasse Subordinada 0 | 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Resgates no Mês,Subclasse Senior 0,0.0,0.0,
12.803.721/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO,2023-10-31,Resgates no Mês,Subclasse Senior 0,0.0,0.0,
